,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
123,0.523,0.132,104.988,0.03,0.184,3.56e-05,4,0.765,2,217307,-4.333,0.394,1,audio_features,spotify:track:1rfofaqEpACxVEHIZBJe6W
124,0.836,0.0507,151.977,0.238,0.218,0.0,4,0.653,9,199773,-6.018,0.569,1,audio_features,spotify:track:1zedfw5iu7XzKJT8CupEIP
125,0.718,0.167,104.971,0.0312,0.059,0.0,4,0.709,6,205820,-3.315,0.24,0,audio_features,spotify:track:7gr57cYekMWriyJYbT7oZ4
126,0.538,0.184,159.841,0.0464,0.75,0.0,4,0.589,10,195143,-5.665,0.659,1,audio_features,spotify:track:63rLjQUFTxemPqACev1by7
127,0.858,0.0789,97.038,0.0396,0.00393,0.0,4,0.615,0,227265,-3.3,0.323,1,audio_features,spotify:track:03CbQgFxnBFoaaVJTfEqMD
128,0.73,0.124,155.008,0.222,0.00513,0.0,4,0.834,8,312820,-3.714,0.446,1,audio_features,spotify:track:2xLMifQCjDGFmkHkpNLD9h
129,0.539,0.165,136.949,0.0421,0.199,1.66e-05,4,0.798,1,202547,-6.351,0.394,1,audio_features,spotify:track:5Z3GHaZ6ec9bsiI5BenrbY
130,0.905,0.0592,122.012,0.0369,0.0142,0.0,4,0.61,9,199134,-3.686,0.521,0,audio_features,spotify:track:2EK48RuuE8HHMDzD2rEDqL
131,0.544,0.0824,97.028,0.0943,0.0403,0.0,4,0.836,7,217947,-5.975,0.51,1,audio_features,spotify:track:76cy1WJvNGJTj78UqeA5zr
132,0.726,0.0459,116.985,0.0339,0.159,0.0,4,0.676,11,274000,-4.953,0.734,0,audio_features,spotify:track:05WHgjtWx32x40VmFkLnOd
133,0.557,0.0902,85.043,0.059,0.695,0.0,4,0.358,10,211467,-7.398,0.494,1,audio_features,spotify:track:5uCax9HTNlzGybIStD3vDh
134,0.854,0.124,120.274,0.463,0.0169,0.0,4,0.596,7,203418,-5.114,0.152,0,audio_features,spotify:track:2iUXsYOEPhVqEBwsqP70rE
135,0.34,0.109,173.452,0.0299,0.808,0.0,3,0.398,8,250849,-7.209,0.464,1,audio_features,spotify:track:7EuwGgjGV5mZdiFxkNVNDd
136,0.759,0.128,139.922,0.0326,0.0281,0.0,4,0.661,5,207925,-3.247,0.466,1,audio_features,spotify:track:1bZNFcnyCmlnbs337baR0b
137,0.29,0.119,169.757,0.0318,0.826,0.0,4,0.454,8,220112,-10.707,0.208,1,audio_features,spotify:track:0goff2JabkZTEq1yKeyoM8
138,0.587,0.354,88.055,0.0369,0.509,0.0,4,0.653,2,245500,-7.01,0.366,1,audio_features,spotify:track:0GTCONVjK4xrB0ZPT1CCNz
139,0.7,0.153,116.073,0.0694,0.00261,1.56e-05,4,0.762,9,209320,-6.021,0.608,0,audio_features,spotify:track:2xJCMIJfcNYDc5iR0sAm2O
140,0.832,0.469,111.997,0.0288,0.000371,0.000483,4,0.695,9,194699,-3.455,0.249,0,audio_features,spotify:track:7n2HVHWqFsyAOs5HqmE1Dl
141,0.52,0.0923,143.965,0.141,0.364,0.0,4,0.828,6,244583,-6.852,0.453,1,audio_features,spotify:track:3JrekkAlDuRg0iRBwVUTBy
142,0.652,0.0931,95.977,0.0802,0.581,0.0,4,0.825,1,233713,-3.183,0.931,0,audio_features,spotify:track:7qiZfU4dY1lWllzX7mPBI3
143,0.385,0.231,95.799,0.0308,0.371,0.0,4,0.572,7,215733,-6.362,0.323,1,audio_features,spotify:track:2VxeLyX666F8uXCJ0dZF8B
144,0.794,0.388,114.066,0.0671,0.00987,1.36e-06,4,0.601,7,217467,-5.844,0.244,0,audio_features,spotify:track:27rdGxbavYJeBphck5MZAF
145,0.586,0.0813,126.684,0.0362,0.697,0.0,4,0.553,11,196373,-6.319,0.443,1,audio_features,spotify:track:3EPXxR3ImUwfayaurPi3cm
146,0.379,0.0986,107.989,0.0476,0.607,0.000464,4,0.614,4,258987,-10.48,0.201,1,audio_features,spotify:track:6fxVffaTuwjgEk5h9QyRjy
147,0.684,0.72,96.097,0.0585,0.252,0.0,4,0.669,7,192537,-4.595,0.466,1,audio_features,spotify:track:2J0X46UkpfLlWbuCXFgDLr
148,0.336,0.111,105.025,0.0436,0.796,1.06e-05,4,0.673,8,210836,-10.088,0.631,1,audio_features,spotify:track:3DB5cok0icynOC7wj1AQuj
149,0.78,0.117,139.999,0.044,0.00151,0.0,4,0.76,1,211685,-6.8,0.734,1,audio_features,spotify:track:5TJsa9qiTlGKwhEvUsaWVe
150,0.488,0.15,96.989,0.0258,0.299,1.11e-06,4,0.701,9,258402,-9.948,0.625,1,audio_features,spotify:track:6ezEwX2eZRZlioqYaUPOKX
151,0.712,0.13,140.025,0.066,0.0573,0.0,4,0.622,5,211360,-7.321,0.487,1,audio_features,spotify:track:2QZ7WLBE8h2y1Y5Fb8RYbH
152,0.412,0.0659,126.754,0.0301,0.488,0.00016,4,0.689,7,184060,-7.523,0.537,0,audio_features,spotify:track:0lsRatBUs9HNIZAmoGABzk
153,0.722,0.0935,102.972,0.0945,0.00579,0.0,4,0.827,6,212600,-4.804,0.589,0,audio_features,spotify:track:67BbMuItfrHmaNqDxBPF7c
154,0.434,0.154,100.053,0.209,0.597,2.8e-06,4,0.754,10,234600,-7.907,0.324,1,audio_features,spotify:track:1Lw0i60LlzJfmG6ADncUrz
155,0.409,0.11,171.838,0.0505,0.172,0.0,4,0.538,9,205440,-6.581,0.265,0,audio_features,spotify:track:3id2EVGKc3eFAMn9nFnB0r
156,0.104,0.0895,124.001,0.0621,0.979,7.86e-05,3,0.498,1,199931,-14.08,0.205,0,audio_features,spotify:track:14JzyD6FlBD5z0wV5P07YI
157,0.524,0.111,95.01,0.0338,0.414,0.0,4,0.748,8,244960,-5.599,0.661,1,audio_features,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw
158,0.927,0.579,106.981,0.107,0.0399,0.0,4,0.744,9,198867,-3.973,0.559,0,audio_features,spotify:track:514mQDPkXmPzsYwGNmkBJZ
159,0.777,0.0819,93.017,0.0348,0.386,0.0,4,0.728,2,262437,-4.863,0.702,1,audio_features,spotify:track:0lQWN4uo1PCdzrxEZJM95P
160,0.792,0.283,98.1,0.224,0.00427,1.15e-06,4,0.774,9,202773,-4.019,0.505,0,audio_features,spotify:track:2ezKXygNO30pXyDQXkm6oD
161,0.613,0.134,100.066,0.0542,0.109,2.33e-05,4,0.775,3,208787,-4.586,0.797,0,audio_features,spotify:track:5cF0dROlMOK5uNZtivgu50
162,0.56,0.111,140.06,0.105,0.546,0.0,4,0.75,8,221440,-8.094,0.459,1,audio_features,spotify:track:3swc6WTsr7rl9DqQKQA55C
163,0.669,0.178,82.997,0.0419,0.244,0.0,4,0.598,4,227000,-5.506,0.788,1,audio_features,spotify:track:06DPpk0hUJEgpzl5cuWNI6
164,0.857,0.103,126.038,0.0881,0.00219,0.0,4,0.709,9,260234,-3.394,0.446,1,audio_features,spotify:track:03iCbZaM4OkRR4We6wIzvx
